Beras Premium,Beras Medium,Kedelai Biji Kering (Impor),Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Murni,Daging Ayam Ras,Telur Ayam Ras,Gula Konsumsi,Minyak Goreng Kemasan Sederhana,Tepung Terigu (Curah),Minyak Goreng Kemasan Premium,Minyak Goreng Curah,Jagung Tk Peternak,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Garam Halus Beryodium,Tepung Terigu Kemasan (non-curah)
12660,11270,12000,35510,32770,51800,98730,126580,35990,32200,14480,19750,8990,,,,,,,,
12660,11010,12240,31850,29490,44860,98730,130000,36480,30980,14000,19750,8360,,,,,,,,
12390,11010,11700,34880,32180,44780,97420,124900,37160,30860,14320,19830,9950,,,,,,,,
12390,11010,12240,35260,32180,44780,95730,127940,36180,30690,14320,19830,9520,,,,,,,,
12390,11010,12240,35260,32180,43910,88960,125900,36370,29880,14320,19830,10040,,,,,,,,
12390,11010,12240,33490,32180,42940,80320,125900,36180,29560,14320,19830,10040,,,,,,,,
12470,11010,12240,30910,30100,36920,73340,125900,35200,27520,13790,19800,9690,,,,,,,,
12390,11010,12240,33130,32180,42000,76210,125900,35200,28960,14320,19830,10040,,,,,,,,
12390,11010,12240,33130,32180,40030,76210,125900,35200,28450,14320,19830,10040,,,,,,,,
12390,11010,12240,33130,32180,38030,71140,125900,34990,27960,14140,19830,10040,,,,,,,,
12480,11060,12240,33490,32180,38030,67490,126860,37000,27260,14320,19830,10040,,,,,,,,
12580,11070,12240,33200,31650,39870,71660,128630,37770,26300,14380,19800,9690,,,,,,,,
12480,11060,12240,33490,32180,38030,63490,126860,36590,25720,14320,20970,10040,,,,,,,,
12480,11060,12240,33490,32180,38030,62650,125870,38430,25530,14320,19830,10040,,,,,,,,
12580,11280,12000,34240,33090,39870,63200,124850,39340,25430,14380,19800,10270,,,,,,,,
12720,11360,12000,31140,30650,32240,56350,124850,39340,23480,14000,19750,9870,,,,,,,,
12190,10880,12320,34240,32640,36500,61280,126130,38040,25880,14380,19800,9860,,,,,,,,
12480,11060,12240,33490,32180,37060,61750,124880,37220,25190,14320,19830,10040,,,,,,,,
12480,11060,12240,33130,32030,37060,59470,126900,38370,24820,14320,19830,10040,,,,,,,,
12480,11060,12240,33130,32180,35330,59470,124880,38390,24200,14320,19480,10040,,,,,,,,
12480,11060,12240,32970,32180,36890,57370,124880,38010,24020,14320,19480,10040,,,,,,,,
