date,beras_premium,year,month
2022-01-01,12660.0,2022,1
2022-01-02,12660.0,2022,1
2022-01-03,12390.0,2022,1
2022-01-04,12390.0,2022,1
2022-01-05,12390.0,2022,1
2022-01-06,12390.0,2022,1
2022-01-07,12470.0,2022,1
2022-01-08,12390.0,2022,1
2022-01-09,12390.0,2022,1
2022-01-10,12390.0,2022,1
2022-01-11,12480.0,2022,1
2022-01-12,12580.0,2022,1
2022-01-13,12480.0,2022,1
2022-01-14,12480.0,2022,1
2022-01-15,12580.0,2022,1
2022-01-16,12720.0,2022,1
2022-01-17,12190.0,2022,1
2022-01-18,12480.0,2022,1
2022-01-19,12480.0,2022,1
2022-01-20,12480.0,2022,1
2022-01-21,12480.0,2022,1
2022-01-22,12580.0,2022,1
2022-01-23,12480.0,2022,1
2022-01-24,12480.0,2022,1
2022-01-25,12480.0,2022,1
2022-01-26,12580.0,2022,1
2022-01-27,12480.0,2022,1
2022-01-28,12320.0,2022,1
2022-01-29,12320.0,2022,1
2022-01-30,12390.0,2022,1
2022-01-31,12320.0,2022,1
2022-02-01,12320.0,2022,2
2022-02-02,12320.0,2022,2
2022-02-03,12480.0,2022,2
2022-02-04,12480.0,2022,2
2022-02-05,12580.0,2022,2
2022-02-06,12480.0,2022,2
2022-02-07,12480.0,2022,2
2022-02-08,12480.0,2022,2
2022-02-09,12480.0,2022,2
2022-02-10,12480.0,2022,2
2022-02-11,12480.0,2022,2
2022-02-12,12480.0,2022,2
2022-02-13,12580.0,2022,2
2022-02-14,12480.0,2022,2
2022-02-15,12480.0,2022,2
2022-02-16,12480.0,2022,2
2022-02-17,12480.0,2022,2
2022-02-18,12480.0,2022,2
2022-02-19,12480.0,2022,2
2022-02-20,12480.0,2022,2
2022-02-21,12480.0,2022,2
2022-02-22,12480.0,2022,2
2022-02-23,12580.0,2022,2
2022-02-24,12480.0,2022,2
2022-02-25,12480.0,2022,2
2022-02-26,12480.0,2022,2
2022-02-27,12480.0,2022,2
2022-02-28,12480.0,2022,2
2022-03-01,12480.0,2022,3
2022-03-02,12480.0,2022,3
2022-03-03,12480.0,2022,3
2022-03-04,12160.0,2022,3
2022-03-05,12580.0,2022,3
2022-03-06,12480.0,2022,3
2022-03-07,12480.0,2022,3
2022-03-08,12480.0,2022,3
2022-03-09,12480.0,2022,3
2022-03-10,12480.0,2022,3
2022-03-11,12480.0,2022,3
2022-03-12,12480.0,2022,3
2022-03-13,12480.0,2022,3
2022-03-14,12480.0,2022,3
2022-03-15,12480.0,2022,3
2022-03-16,12480.0,2022,3
2022-03-17,12480.0,2022,3
2022-03-18,12480.0,2022,3
2022-03-19,12480.0,2022,3
2022-03-20,12480.0,2022,3
2022-03-21,12960.0,2022,3
2022-03-22,12410.0,2022,3
2022-03-23,12410.0,2022,3
2022-03-24,12410.0,2022,3
2022-03-25,12410.0,2022,3
2022-03-26,12410.0,2022,3
2022-03-27,12500.0,2022,3
2022-03-28,12410.0,2022,3
2022-03-29,12380.0,2022,3
2022-03-30,12380.0,2022,3
2022-03-31,12380.0,2022,3
2022-04-01,12380.0,2022,4
2022-04-02,12350.0,2022,4
2022-04-03,12350.0,2022,4
2022-04-04,12310.0,2022,4
2022-04-05,12310.0,2022,4
2022-04-06,12310.0,2022,4
2022-04-07,12310.0,2022,4
2022-04-08,12310.0,2022,4
2022-04-09,12380.0,2022,4
2022-04-10,12310.0,2022,4
2022-04-11,12310.0,2022,4
2022-04-12,12310.0,2022,4
2022-04-13,12380.0,2022,4
2022-04-14,12310.0,2022,4
2022-04-15,12310.0,2022,4
2022-04-16,12310.0,2022,4
2022-04-17,12310.0,2022,4
2022-04-18,12310.0,2022,4
2022-04-19,12310.0,2022,4
2022-04-20,12310.0,2022,4
2022-04-21,12310.0,2022,4
2022-04-22,12310.0,2022,4
2022-04-23,12310.0,2022,4
2022-04-24,12380.0,2022,4
2022-04-25,12310.0,2022,4
2022-04-26,12310.0,2022,4
2022-04-27,12310.0,2022,4
2022-04-28,12310.0,2022,4
2022-04-29,12310.0,2022,4
2022-04-30,12310.0,2022,4
2022-05-01,12380.0,2022,5
2022-05-02,12960.0,2022,5
2022-05-03,12000.0,2022,5
2022-05-04,12470.0,2022,5
2022-05-05,12380.0,2022,5
2022-05-06,12310.0,2022,5
2022-05-07,12380.0,2022,5
2022-05-08,12310.0,2022,5
2022-05-09,12310.0,2022,5
2022-05-10,12310.0,2022,5
2022-05-11,12310.0,2022,5
2022-05-12,12310.0,2022,5
2022-05-13,12310.0,2022,5
2022-05-14,12310.0,2022,5
2022-05-15,12310.0,2022,5
2022-05-16,12310.0,2022,5
2022-05-17,12310.0,2022,5
2022-05-18,12310.0,2022,5
2022-05-19,12310.0,2022,5
2022-05-20,12310.0,2022,5
2022-05-21,12310.0,2022,5
2022-05-22,12310.0,2022,5
2022-05-23,12310.0,2022,5
2022-05-24,12310.0,2022,5
2022-05-25,12310.0,2022,5
2022-05-26,12310.0,2022,5
2022-05-27,12310.0,2022,5
2022-05-28,12380.0,2022,5
2022-05-29,12310.0,2022,5
2022-05-30,12310.0,2022,5
